username,business_category_name,follower_count,following_count,is_verified,is_private,highlight_reel_count,external_url,media_count,likes_average_count,comments_average_count
citymemoria,,438,814,False,False,2,https://m.imdb.com/name/nm2943643/filmotype/visual_effects?ref_=m_nmfm_1,478,54.333333333333336,2.0
mredouard,,2981,796,False,False,0,,978,137.0,3.0
realnanisa,,419,7503,False,True,0,,0,0,0
dimitri__foster,,53,365,False,True,0,,24,0,0
iamfaizandar,,409,891,False,False,2,,1112,52.0,2.9166666666666665
jeremykurniawanwijaya,Creators & Celebrities,2150,7500,False,False,0,http://www.smule.com/JeremyKurniawan1,29,214.08333333333334,3.5
grantkovic,Content & Apps,612,2504,False,False,0,https://grantkovic.squarespace.com/,143,71.58333333333333,2.9166666666666665
camillebriottetphotography,Creators & Celebrities,1866,6319,False,False,0,http://camillebriottet-photography.com/,767,156.08333333333334,7.416666666666667
skipdebuskphotography,Creators & Celebrities,2662,227,False,False,0,http://omahafreelancer.com/,461,58.916666666666664,0.75
teo_sarto,Creators & Celebrities,355,344,False,False,0,,223,61.916666666666664,1.5833333333333333
snapshot_photography_1,,163,373,False,False,0,https://ellis240300.wixsite.com/snapshotphotography,168,43.0,1.9166666666666667
margaridamariapais,,355,923,False,False,0,,270,33.083333333333336,1.0833333333333333
escapetoprague,Transportation & Accomodation Services,2135,2181,False,False,7,http://www.escapetoprague.com/,364,131.33333333333334,6.333333333333333
billie.bongs,,436,39,False,False,0,,0,0,0
csbakos,,358,2024,False,False,0,https://www.flickr.com/photos/ch4nce/,104,114.25,2.6666666666666665
hilda_yhe,,158,158,False,False,0,,701,29.416666666666668,0.75
brazil01,,896,1923,False,False,0,,1385,47.666666666666664,1.9166666666666667
rev_jake,,5402,4095,False,False,7,,223,533.3333333333334,14.333333333333334
inkdfotogrfa,Creators & Celebrities,589,2748,False,False,0,http://inkdfotogrfa.com/,83,66.16666666666667,2.9166666666666665
wanderingclumsy,Transportation & Accomodation Services,2552,2290,False,False,0,http://wanderingclumsy.wordpress.com/,167,99.25,4.0
davidson.sharks,,3335,3721,False,False,0,,221,453.25,1.8333333333333333
junrenchan,,87,431,False,False,0,https://500px.com/chanjunren,123,34.25,0.9166666666666666
sineminkaresi,,3347,2978,False,False,6,,566,243.58333333333334,4.0
philipphenke4,,216,259,False,True,0,,9,0,0
davidephotography,Creators & Celebrities,1450,7436,False,False,2,,337,249.91666666666666,3.3333333333333335
leo.bridgewater,General Interest,510,945,False,False,0,https://www.tesco.com/,4,190.25,16.25
lens_smudge,,281,1061,False,False,5,,292,39.75,1.8333333333333333
grytrgm,,388,604,False,False,0,https://www.flickr.com/photos/grytr/,200,60.166666666666664,0.16666666666666666
poppyray16,,214,395,False,False,0,,1627,31.416666666666668,0.9166666666666666
keithinsp,,1231,4591,False,False,0,http://inspiredbylight.photler.com/,931,69.83333333333333,4.083333333333333
enzoferrarifx60,,851,609,False,False,1,,1907,71.33333333333333,2.8333333333333335
bart_sav,,31,87,False,True,0,,9,0,0
munmun83,,491,1120,False,False,0,,159,17.166666666666668,1.0833333333333333
